"weight","kills","rangeS","speed","height","humanDens","qsec","hunt_type","parent_type","cubs","carb","trans_type"
21,4,160,110,3.9,2.62,16.46,"ambush",1,4,4,"abandon"
21,4,160,110,3.9,2.875,17.02,"ambush",1,4,4,"abandon"
22.8,6,108,93,3.85,2.32,18.61,"pursuit",1,4,1,"abandon"
21.4,4,258,110,3.08,3.215,19.44,"pursuit",0,3,1,"nurture"
18.7,2,360,175,3.15,3.44,17.02,"ambush",0,3,2,"nurture"
18.1,4,225,105,2.76,3.46,20.22,"pursuit",0,3,1,"nurture"
14.3,2,360,245,3.21,3.57,15.84,"ambush",0,3,4,"nurture"
24.4,6,146.7,62,3.69,3.19,20,"pursuit",0,4,2,"nurture"
22.8,6,140.8,95,3.92,3.15,22.9,"pursuit",0,4,2,"nurture"
19.2,4,167.6,123,3.92,3.44,18.3,"pursuit",0,4,4,"nurture"
17.8,4,167.6,123,3.92,3.44,18.9,"pursuit",0,4,4,"nurture"
16.4,2,275.8,180,3.07,4.07,17.4,"ambush",0,3,3,"nurture"
17.3,2,275.8,180,3.07,3.73,17.6,"ambush",0,3,3,"nurture"
15.2,2,275.8,180,3.07,3.78,18,"ambush",0,3,3,"nurture"
10.4,2,472,205,2.93,5.25,17.98,"ambush",0,3,4,"nurture"
10.4,2,460,215,3,5.424,17.82,"ambush",0,3,4,"nurture"
14.7,2,440,230,3.23,5.345,17.42,"ambush",0,3,4,"nurture"
32.4,6,78.7,66,4.08,2.2,19.47,"pursuit",1,4,1,"abandon"
30.4,6,75.7,52,4.93,1.615,18.52,"pursuit",1,4,2,"abandon"
33.9,6,71.1,65,4.22,1.835,19.9,"pursuit",1,4,1,"abandon"
21.5,6,120.1,97,3.7,2.465,20.01,"pursuit",0,3,1,"nurture"
15.5,2,318,150,2.76,3.52,16.87,"ambush",0,3,2,"nurture"
15.2,2,304,150,3.15,3.435,17.3,"ambush",0,3,2,"nurture"
13.3,2,350,245,3.73,3.84,15.41,"ambush",0,3,4,"nurture"
19.2,2,400,175,3.08,3.845,17.05,"ambush",0,3,2,"nurture"
27.3,6,79,66,4.08,1.935,18.9,"pursuit",1,4,1,"abandon"
26,6,120.3,91,4.43,2.14,16.7,"ambush",1,5,2,"abandon"
30.4,6,95.1,113,3.77,1.513,16.9,"pursuit",1,5,2,"abandon"
15.8,2,351,264,4.22,3.17,14.5,"ambush",1,5,4,"abandon"
19.7,4,145,175,3.62,2.77,15.5,"ambush",1,5,6,"abandon"
15,2,301,335,3.54,3.57,14.6,"ambush",1,5,8,"abandon"
21.4,6,121,109,4.11,2.78,18.6,"pursuit",1,4,2,"abandon"
